,PHAL,PHAR,PHBL,PHBR,R2BL,R2BR,R3BR,R4BL,R4BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R1BL,R1BR,R3BL,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R9BL,R9BR,R1AL,R1AR,R2AL,R2AR,R3AL,R3AR,R4AL,R4AR,R5AL,R5AR,HOA,HOB,PCAL,PCAR,PCBL,PCBR,PCCL,PCCR,SPCL,SPCR,SPDL,SPDR,SPVL,SPVR,LUAL,LUAR,CP07,CP08,CP09,CA02,CA03,CA04,CA05,CA06,PVY,PVX,PVV,PDA,PDB,PDC,AS11,PVZ,CP01,CP02,CP03,CP04,CP05,CP06,DX1,DX2,DX3,DVB,DVC,DVE,DVF,EF1,EF2,EF3,AVG,AVL,PVS,PVU,PVT,AN3a,AN3b,PVNL,PVNR,CA07,CA08,CA09,PGA,PHCL,PHCR,ALNL,ALNR,PLML,PLMR,PLNL,PLNR,PQR,PVM,PVDL,PVDR,PDEL,PDER,PVR,AVKL,AVKR,DVA,PVWL,PVWR,AN1a,AN1b,AN2a,AN2b,PVQL,PVQR,AVAL,AVAR,AVBL,AVBR,AVDL,AVDR,PVCL,PVCR,DA04,DA05,DA06,DA07,DA08,DA09,DB03,DB04,DB05,DB06,DB07,DD03,DD04,DD05,DD06,AS08,AS09,AS10,VA08,VA09,VA10,VA11,VA12,VB05,VB06,VB07,VB08,VB09,VB10,VB11,VD09,VD10,VD11,VD12,VD13
SPDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,6,,,,,,,,,5,3,,,,,,,,21,7,12,4,,,,,,,,1,,,,,,,,,4,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,3,
SPDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,3,3,,,,,,,,,,,,,,,,,,3,,7,9,1,,,,,,,2,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,
SPVL,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,38,,18,,,,,,,,,2,,1,,3,,,,,17,,,,,,,,,,,,,,,,,,3,,2,,,,10,11,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,1,10,8,20,
SPVR,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,58,55,11,,,,,,,,,,2,,,,5,,,,,9,,,,2,,1,,,,,2,,,10,,,,,,2,,,,5,,,,,,,,,,,,,,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,25,,,,,,,,,,,,,,,,,4,10,,
LUAL,,,,,36,,,,5,11,1,,1,,1,,,,,,,,,,,,,,,,6,,1,1,,,,,,,37,5,5,,41,3,,,,,5,,,,2,17,,,,,,,,2,40,35,,4,,,7,,10,20,27,,,1,,,,,,,,,,,47,,,4,,,,1,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUAR,,,,,,16,,1,2,1,12,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,25,11,,,,54,,,,,,3,,,11,,,,,,,,10,,55,38,,5,1,,6,62,,,,30,,,,,,,,,,,,,30,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,
CP07,,,,,,,,,,,5,,,,9,,,10,,,,18,,,,5,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,,9,,3,,,,,,,53,39,,41,,6,3,,,,,,,,,,,3,,,1,9,2,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP08,,,,,,,,,,,,,,,,,,,,,7,4,,,8,2,,,,,,,3,11,,,,,,,,,1,3,,,,,,,,,,,,,,,5,,,,,,,44,18,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP09,,,,,,,8,,,11,,,,8,2,,,11,,,16,19,,,1,26,8,,3,8,,,,,,,,,,,1,,2,,,3,,,,,2,,,1,,,41,39,17,,,2,,,,34,97,,67,2,1,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,,,,,1,3,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,
CA04,,,,,,2,,,,,,,,,,,,,,,,2,,,,4,,1,,,,,,,,,3,4,,,,,,,,,,,,2,,,,,,,,,,,,,3,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA05,,,,,,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,8,5,2,2,4,1,1,,5,,6,,,,,1,,,,,1,,,,,,6,,,3,4,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
CA06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,4,,1,2,1,,,,,,,,,,,,,3,,,,,,,,,1,4,2,6,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
PVY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,3,,,,,,,,,,,,,,,20,,,,1,,,,,,,,,,,,,,1,10,,,,,
PVX,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,3,,,,,,,,,,5,,,,,,5,,,,,,,,,,,,,,,,,,3,,,,,1,2,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,32,21,8,18,4,4,,,2,,1,,,,,,,14,16,,,,10,1,,,,,,,,,,,,,,,,,,,
PVV,,,,,,,,,,,,,,,3,,2,,,,,,,,2,,1,1,,,4,,,,3,2,,,,,,,,,,,,,,,,,3,2,,,4,1,,,,9,,,3,1,4,,,1,,6,,,,,,,,,,,,,,,1,,8,,,,,1,9,2,3,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,7,10,,4,,,6,,,,,,,,,,,,,,,,8,,,,,,,,8,,,,,,,4,,2,3,8,26
PDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,10
PDB,,,,6,,,,,,,,2,,6,3,,1,3,,5,2,1,,,,,1,,3,3,,,,,,,,,,,1,2,,,,,,,,,,,,,,1,5,,9,,,,1,,2,,,,4,,22,,,,,,,,,,14,,,,,,4,17,,,,,,,,5,1,6,,,1,1,,,,,,,,,,,,,,,,,,1,,2,1,,,,2,,,,,,,,,,,,,,2,,,,,2,,,,6,,,,,,,,,,,,,,,,,,,,39
PDC,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,4,12
AS11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
PVZ,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,,,1,,,,,,1,,3,6,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,22,12,,,,,,1,2,1,,2,1,,,,,4,11,21,10,7
CP01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,2,,,,,,,,,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,3,,14,9,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,7,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CP04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,,,,5,7,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,15,3,,,,,,,,,,,,,,,,,,,,
CP05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,17,,4,,3,12,,,10,,,,6,,,,1,,14,2,,,,,,,,10,14,,,9,,37,,,,6,,7,1,6,,4,3,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
CP06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,7,,5,5,,4,,,14,,,,,,,,,,,5,,,,,,,,2,8,,2,6,21,,,,,2,,4,2,,5,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX1,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX2,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,4,8,,26,,,,,,,,,,,,,,,,,,,,,,,14,,,,,9,,,,,,,,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DX3,,,2,,,,4,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,23,,,,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,11,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,7,2,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,6,2,,5,2,,4,,3,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,
DVC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,,1,,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,1,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,
DVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,,,16,,17,,,2,12,,,3,1,,,,,,3,,,,,1,,,,,,,5,22,7,,,16,1,1,,5,21,24,2,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DVF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,21,,,6,,5,,28,,,,1,1,,,3,2,4,,,,1,,,,4,,,,,1,,,,1,16,11,,,,3,3,5,,3,,,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,3,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,3,2,
EF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
EF2,,,,,,,,,1,,,,,,,,2,,,5,,,,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVG,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,3,,,2,,,,,,,4,,,,,,,,,,,,,,,2,,,,,,4,,,,,,3,,,,,,,4,5,5,,,4,,,,1,,7,,,,,,,,,,,,,,7,,,,,,,,,,,,1,4,1,,,5,,,3,2,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
AVL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
PVS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AN3a,2,,,,,,5,,,,3,,,,1,,80,,,15,,,4,13,,,4,4,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,18,,6,,,,,,,,,,,,,,,,,,,3,9,,,,10,,,,1,8,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,2,1,,,4,,13,,,,,,4,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,
AN3b,,,,,,,2,,,,,,,,,,15,8,,34,,,,,,,7,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,18,,,,7,,,,,,,,,,,,,,,,5,,,1,,2,,,,2,4,,,,,,,,,,,,,14,,1,,,,,,,,4,,,,,,,,,5,,,,,24,,,,,,1,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,5
PVNL,,,,,,1,1,,5,,,4,14,,,,1,,,2,,,3,,,,12,10,,,,,,,2,,,,,,,1,,,,,,,,,1,,1,,,,,4,1,,,10,,,23,9,2,,6,,5,,,,,,,,,,,,,,,4,10,22,4,2,,1,,,3,1,,,,,10,,,,,,,,,2,,1,,,,,,,,,,,,,,,,8,7,2,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
PVNR,,,,,,3,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,6,1,5,,6,1,,2,,,,,,,,,,,,2,,9,26,12,,9,2,1,,5,2,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
CA07,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,1,,1,1,,,
CA09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGA,,,,,,,4,,,,,,,3,,,,,,,,3,,,,2,1,6,4,5,,,,,,,,,,,2,,,,,,,,,,,,,,,,4,,3,,,,,,,2,,,4,,,,1,,,,,,,,3,,,4,,9,5,,2,,,,,,,4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHCL,,,,,,,,,,,,,,2,,,,2,,1,,,,8,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,3,,,,,,,4,,,,,,,,,,4,,,,,,,,,27,,,,16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHCR,,,,,,,,,,,,,,,,,3,,,,,,,3,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,3,,,,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,12,,,,9,,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
ALNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALNR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,19,,,,9,,,,,,,,,4,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
PLMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,10,,,,19,,,,,,,,,3,5,,,8,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
